unix,date,symbol,open,high,low,close,Volume COOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1680307200000,2023-04-01 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2922.2
1680220800000,2023-03-31 00:00:00,COOL/USDT,3096.61,3096.61,2915.04,2915.04,182.97,0.062621,0,0,11,2922.2
1680134400000,2023-03-30 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1680048000000,2023-03-29 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679961600000,2023-03-28 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,37.9,0.010833,9.89,0.002829,2,3498.99
1679875200000,2023-03-27 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679788800000,2023-03-26 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679702400000,2023-03-25 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679616000000,2023-03-24 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679529600000,2023-03-23 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679443200000,2023-03-22 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679356800000,2023-03-21 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679270400000,2023-03-20 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679184000000,2023-03-19 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679097600000,2023-03-18 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1679011200000,2023-03-17 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1678924800000,2023-03-16 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1678838400000,2023-03-15 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,0,0,0,0,0,3498.99
1678752000000,2023-03-14 00:00:00,COOL/USDT,3498.99,3498.99,3498.99,3498.99,1.59,0.000455,1.59,0.000455,1,3498.99
1678665600000,2023-03-13 00:00:00,COOL/USDT,3000,3000,3000,3000,0.28,0.000094,0,0,1,3000
1678579200000,2023-03-12 00:00:00,COOL/USDT,3000,3000,3000,3000,3.26,0.001089,0,0,1,3000
1678492800000,2023-03-11 00:00:00,COOL/USDT,3000,3000,2977.77,2977.77,2.69,0.000899,0,0,2,2992.81
1678406400000,2023-03-10 00:00:00,COOL/USDT,3000.02,3000.02,3000,3000,36.9,0.012303,0,0,6,3000
1678320000000,2023-03-09 00:00:00,COOL/USDT,3000,3000,3000,3000,0,0,0,0,0,3534.28
1678233600000,2023-03-08 00:00:00,COOL/USDT,3000,3000,3000,3000,0,0,0,0,0,3534.28
1678147200000,2023-03-07 00:00:00,COOL/USDT,3000,3000,3000,3000,0,0,0,0,0,3534.28
1678060800000,2023-03-06 00:00:00,COOL/USDT,3000,3000,3000,3000,0,0,0,0,0,3534.28
1677974400000,2023-03-05 00:00:00,COOL/USDT,3000,3999,3000,3000,5.34,0.001544,2.85,0.000715,3,3534.28
1677888000000,2023-03-04 00:00:00,COOL/USDT,3500,3500,3000,3000,33.29,0.011046,0,0,2,3016.5
1677801600000,2023-03-03 00:00:00,COOL/USDT,5203.37,5203.37,5203.37,5203.37,0,0,0,0,0,5203.37
1677715200000,2023-03-02 00:00:00,COOL/USDT,5203.37,5203.37,5203.37,5203.37,7.31,0.001405,7.31,0.001405,1,5203.37
1677628800000,2023-03-01 00:00:00,COOL/USDT,5203.37,5203.37,5203.37,5203.37,0,0,0,0,0,4779.84
1677542400000,2023-02-28 00:00:00,COOL/USDT,4399.56,5203.37,4399.56,5203.37,45.84,0.009658,45.84,0.009658,3,4779.84
1677456000000,2023-02-27 00:00:00,COOL/USDT,5255.94,5255.94,5255.94,5255.94,0,0,0,0,0,5064.62
1677369600000,2023-02-26 00:00:00,COOL/USDT,5255.94,5255.94,5255.94,5255.94,0,0,0,0,0,5064.62
1677283200000,2023-02-25 00:00:00,COOL/USDT,5255.94,5255.94,5255.94,5255.94,0,0,0,0,0,5064.62
1677196800000,2023-02-24 00:00:00,COOL/USDT,5255.94,5255.94,5255.94,5255.94,0,0,0,0,0,5064.62
1677110400000,2023-02-23 00:00:00,COOL/USDT,4444,5938.91,4444,5255.94,21.11,0.004236,16.37,0.003335,12,5064.62
1677024000000,2023-02-22 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
