unix,date,symbol,open,high,low,close,Volume XRP,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1746403200000,2025-05-05 00:00:00,XRP/USDD,2.1226,2.1226,2.1226,2.1226,4.2452,2,0,0,1,2.1226
1746316800000,2025-05-04 00:00:00,XRP/USDD,2.1652,2.1652,2.1651,2.1651,6.7244,3.1058,0,0,2,2.1651
1746230400000,2025-05-03 00:00:00,XRP/USDD,2.2517,2.2517,2.2517,2.2517,0,0,0,0,0,2.2517
1746144000000,2025-05-02 00:00:00,XRP/USDD,2.2517,2.2517,2.2517,2.2517,0,0,0,0,0,2.2517
1746057600000,2025-05-01 00:00:00,XRP/USDD,2.2517,2.2517,2.2517,2.2517,4.5034,2,4.5034,2,1,2.2517
1745971200000,2025-04-30 00:00:00,XRP/USDD,2.2225,2.2225,2.1651,2.1651,119.8104,54.029,0,0,4,2.2175
1745884800000,2025-04-29 00:00:00,XRP/USDD,2.2897,2.2897,2.2897,2.2897,13.8689,6.0571,0,0,1,2.2897
1745798400000,2025-04-28 00:00:00,XRP/USDD,2.2967,2.3427,2.2967,2.3423,327.2086,139.899,327.2086,139.899,7,2.3389
1745712000000,2025-04-27 00:00:00,XRP/USDD,2.2517,2.2517,2.2517,2.2517,4.5034,2,4.5034,2,1,2.2517
1745625600000,2025-04-26 00:00:00,XRP/USDD,2.2075,2.2075,2.2075,2.2075,0,0,0,0,0,2.1873
1745539200000,2025-04-25 00:00:00,XRP/USDD,2.2075,2.2075,2.2075,2.2075,0,0,0,0,0,2.1873
1745452800000,2025-04-24 00:00:00,XRP/USDD,2.1797,2.2075,2.1226,2.2075,201.4541,92.1068,76.3791,34.6013,7,2.1873
1745366400000,2025-04-23 00:00:00,XRP/USDD,2.2517,2.2967,2.1652,2.1652,32.378,14.3799,27.8473,12.3273,6,2.2518
1745280000000,2025-04-22 00:00:00,XRP/USDD,2.1642,2.2075,2.1613,2.2075,106.5076,49.234,106.5076,49.234,3,2.1633
1745193600000,2025-04-21 00:00:00,XRP/USDD,2.1641,2.1641,2.1,2.1,14.8469,6.9311,9.847,4.5502,2,2.1425
1745107200000,2025-04-20 00:00:00,XRP/USDD,2.0465,2.0465,2.0402,2.0403,633.7749,309.7235,0,0,5,2.0462
1745020800000,2025-04-19 00:00:00,XRP/USDD,2.1641,2.6384,2.081,2.081,1093.7993,455.1297,1011.8963,418.0991,58,2.4114
1744934400000,2025-04-18 00:00:00,XRP/USDD,2.0634,2.0634,2.0634,2.0634,80.8272,39.1719,0,0,1,2.0634
1744848000000,2025-04-17 00:00:00,XRP/USDD,2.1218,2.1218,2.1218,2.1218,0,0,0,0,0,2.1158
1744761600000,2025-04-16 00:00:00,XRP/USDD,2.081,2.1218,2.0402,2.1218,93.3126,44.106,85.0702,40.106,4,2.1158
1744675200000,2025-04-15 00:00:00,XRP/USDD,2.1,2.1,2.1,2.1,4.9998,2.3809,0,0,1,2.1
1744588800000,2025-04-14 00:00:00,XRP/USDD,2.1122,2.1122,2.1122,2.1122,0,0,0,0,0,2.1244
1744502400000,2025-04-13 00:00:00,XRP/USDD,2.2075,2.2274,2.1122,2.1122,95.9094,45.1564,11.1767,5.0504,8,2.1244
1744416000000,2025-04-12 00:00:00,XRP/USDD,2.0801,2.1642,2.0801,2.1642,56.785,27.158,56.785,27.158,8,2.0911
1744329600000,2025-04-11 00:00:00,XRP/USDD,2.0104,2.0394,2.0104,2.0394,84.5667,42.0358,84.5667,42.0358,2,2.0117
1744243200000,2025-04-10 00:00:00,XRP/USDD,2.0002,2.0224,1.961,1.961,88.6171,43.9005,0,0,3,2.0186
1744156800000,2025-04-09 00:00:00,XRP/USDD,1.7761,2.0802,1.7413,2.0802,876.2985,440.6252,789.935,391.1281,25,1.9966
1744070400000,2025-04-08 00:00:00,XRP/USDD,1.8702,1.9601,1.8116,1.8116,94.3376,50.4174,83.2492,44.4174,5,1.8713
1743984000000,2025-04-07 00:00:00,XRP/USDD,1.8478,1.9601,1.6409,1.9217,453.4359,257.9633,209.9578,118.5972,42,1.7603
1743897600000,2025-04-06 00:00:00,XRP/USDD,2.081,2.081,1.8848,1.8848,116.4556,57.1947,0,0,9,2.0369
1743811200000,2025-04-05 00:00:00,XRP/USDD,2.158,2.1642,2.1422,2.1422,1373.0387,640.6107,97.0047,44.9455,11,2.1433
1743724800000,2025-04-04 00:00:00,XRP/USDD,2.0802,2.1377,2.0406,2.1377,182.4247,87.7881,8.404,4,6,2.0788
1743638400000,2025-04-03 00:00:00,XRP/USDD,2.0002,2.067,2,2.0493,133.1155,64.8378,87.6345,42.397,9,2.0533
1743552000000,2025-04-02 00:00:00,XRP/USDD,2.1081,2.2075,2.0402,2.0402,1617.1626,765.9138,1484.9244,703.8742,29,2.1115
1743465600000,2025-04-01 00:00:00,XRP/USDD,2.081,2.081,2.081,2.081,0,0,0,0,0,2.081
1743379200000,2025-03-31 00:00:00,XRP/USDD,2.081,2.081,2.081,2.081,4.162,2,0,0,1,2.081
1743292800000,2025-03-30 00:00:00,XRP/USDD,2.1642,2.1642,2.1642,2.1642,4.3284,2,4.3284,2,2,2.1642
1743206400000,2025-03-29 00:00:00,XRP/USDD,2.1226,2.1226,2.081,2.081,8.4072,4,0,0,2,2.102
1743120000000,2025-03-28 00:00:00,XRP/USDD,2.2977,2.2977,2.1651,2.1651,33.6573,15.1589,0,0,6,2.2209
1743033600000,2025-03-27 00:00:00,XRP/USDD,2.3246,2.3246,2.3246,2.3246,0,0,0,0,0,2.3273
1742947200000,2025-03-26 00:00:00,XRP/USDD,2.3906,2.3906,2.3246,2.3246,900.7552,387.044,34.2672,14.3701,8,2.3273
1742860800000,2025-03-25 00:00:00,XRP/USDD,2.4862,2.4862,2.4862,2.4862,0,0,0,0,0,2.485
1742774400000,2025-03-24 00:00:00,XRP/USDD,2.4374,2.4862,2.4374,2.4862,5.0891,2.0479,5.0891,2.0479,2,2.485
1742688000000,2025-03-23 00:00:00,XRP/USDD,2.4374,2.4374,2.4374,2.4374,4.758,1.9521,4.758,1.9521,2,2.4374
1742601600000,2025-03-22 00:00:00,XRP/USDD,2.4004,2.4004,2.4004,2.4004,28.7471,11.976,28.7471,11.976,2,2.4004
1742515200000,2025-03-21 00:00:00,XRP/USDD,2.3907,2.4299,2.2086,2.4004,169.1727,71.2897,94.7599,39.1735,11,2.3754
1742428800000,2025-03-20 00:00:00,XRP/USDD,2.4384,2.4384,2.4384,2.4384,4.8768,2,0,0,1,2.4384
1742342400000,2025-03-19 00:00:00,XRP/USDD,2.3427,2.5359,2.3427,2.5359,28.7889,11.7558,28.7889,11.7558,6,2.4507
1742256000000,2025-03-18 00:00:00,XRP/USDD,2.2526,2.2526,2.2467,2.2467,35.0922,15.6142,30.587,13.6142,2,2.2474
1742169600000,2025-03-17 00:00:00,XRP/USDD,2.2977,2.2977,2.2977,2.2977,0,0,0,0,0,2.3209
1742083200000,2025-03-16 00:00:00,XRP/USDD,2.3437,2.3437,2.2977,2.2977,9.2828,4,0,0,2,2.3209
1741996800000,2025-03-15 00:00:00,XRP/USDD,2.3896,2.4374,2.3896,2.4374,25.4483,10.48,25.4483,10.48,3,2.4284
1741910400000,2025-03-14 00:00:00,XRP/USDD,2.3353,2.3427,2.3353,2.3427,499.2199,213.7649,499.2199,213.7649,2,2.3353
1741824000000,2025-03-13 00:00:00,XRP/USDD,2.2967,2.2967,2.2967,2.2967,4.5934,2,4.5934,2,1,2.2967
1741737600000,2025-03-12 00:00:00,XRP/USDD,2.2517,2.2599,2.1651,2.2517,233.4557,105.782,129.9113,58.0492,10,2.2075
1741651200000,2025-03-11 00:00:00,XRP/USDD,2.0002,2.2075,1.9225,2.2075,948.8692,451.4419,775.6031,365.3699,18,2.1039
1741564800000,2025-03-10 00:00:00,XRP/USDD,2.1673,2.2075,2.0002,2.0802,214.3092,98.5417,118.7934,54.078,10,2.1756
1741478400000,2025-03-09 00:00:00,XRP/USDD,2.2977,2.2977,2.1226,2.1304,208.7825,96.4895,79.0278,37.0953,12,2.1646
1741392000000,2025-03-08 00:00:00,XRP/USDD,2.3437,2.3437,2.3268,2.3269,570.8661,245.3154,0,0,4,2.327
1741305600000,2025-03-07 00:00:00,XRP/USDD,2.4872,2.5359,2.3906,2.4086,504.9675,206.2969,158.8772,64.5512,22,2.4484
1741219200000,2025-03-06 00:00:00,XRP/USDD,2.5359,2.6911,2.5359,2.5369,232.2462,89.5402,147.9862,56.8562,9,2.5939
1741132800000,2025-03-05 00:00:00,XRP/USDD,2.5203,2.5358,2.5203,2.5358,82.6263,32.776,82.6263,32.776,2,2.5209
1741046400000,2025-03-04 00:00:00,XRP/USDD,2.2977,2.4887,2.2526,2.4862,728.9435,304.7406,286.2974,116.8593,20,2.3934
1740960000000,2025-03-03 00:00:00,XRP/USDD,2.8009,2.8009,2.3437,2.3437,121.071,47.8598,16.4852,6.124,14,2.536
1740873600000,2025-03-02 00:00:00,XRP/USDD,2.2075,2.9712,2.2075,2.913,4333.0219,1694.3392,1671.2265,670.531,69,2.5759
1740787200000,2025-03-01 00:00:00,XRP/USDD,2.1642,2.2075,2.1226,2.1226,12.9886,6,8.7434,4,3,2.1653
1740700800000,2025-02-28 00:00:00,XRP/USDD,2.1226,2.1532,1.961,2.1383,1842.8372,864.2947,130.3252,61.3995,37,2.1323
1740614400000,2025-02-27 00:00:00,XRP/USDD,2.1912,2.2517,2.1651,2.1651,1501.3517,669.356,1407.1398,625.958,28,2.2431
1740528000000,2025-02-26 00:00:00,XRP/USDD,2.2973,2.3193,2.1651,2.1927,241.4655,107.5033,116.5048,52.3954,11,2.2473
1740441600000,2025-02-25 00:00:00,XRP/USDD,2.2084,2.3427,2.081,2.3427,757.6821,346.8721,248.5547,111.2958,23,2.1854
1740355200000,2025-02-24 00:00:00,XRP/USDD,2.4872,2.4872,2.2526,2.2526,34.2645,14.5435,0,0,7,2.3585
1740268800000,2025-02-23 00:00:00,XRP/USDD,2.5809,2.5809,2.5809,2.5809,0,0,0,0,0,2.5779
1740182400000,2025-02-22 00:00:00,XRP/USDD,2.5789,2.581,2.5762,2.5809,2873.3207,1114.5837,2134.5667,828.1904,54,2.5779
1740096000000,2025-02-21 00:00:00,XRP/USDD,2.6394,2.6394,2.5369,2.5369,15.5278,6,0,0,3,2.5886
1740009600000,2025-02-20 00:00:00,XRP/USDD,2.7088,2.7088,2.6786,2.6786,882.5242,326.6481,0,0,5,2.7018
1739923200000,2025-02-19 00:00:00,XRP/USDD,2.5336,2.7449,2.5336,2.7449,204.4498,78.8925,199.2258,76.8306,8,2.5918
1739836800000,2025-02-18 00:00:00,XRP/USDD,2.5876,2.5876,2.4872,2.5513,35.3625,13.8913,5.224,2.0476,6,2.5459
1739750400000,2025-02-17 00:00:00,XRP/USDD,2.6399,2.7683,2.6394,2.6394,174.645,65.7125,8.4815,3.0638,11,2.6581
1739664000000,2025-02-16 00:00:00,XRP/USDD,2.6395,2.8337,2.6395,2.8337,2150.4142,786.9382,1069.7609,377.5223,3,2.736
1739577600000,2025-02-15 00:00:00,XRP/USDD,2.7284,2.7442,2.7284,2.7441,515.6531,188.7516,0,0,24,2.7319
1739491200000,2025-02-14 00:00:00,XRP/USDD,2.5625,2.8476,2.5624,2.6574,977.4623,358.2658,696.1143,250.5996,22,2.7317
1739404800000,2025-02-13 00:00:00,XRP/USDD,2.4349,2.5867,2.4349,2.5867,109.893,44.4227,109.893,44.4227,5,2.4744
1739318400000,2025-02-12 00:00:00,XRP/USDD,2.4057,2.4862,2.4057,2.4862,991.0401,405.3793,73.6388,29.744,25,2.4447
1739232000000,2025-02-11 00:00:00,XRP/USDD,2.4862,2.4862,2.3906,2.3906,9.7536,4,4.9724,2,2,2.4393
1739145600000,2025-02-10 00:00:00,XRP/USDD,2.4374,2.4541,2.4248,2.4284,23.4672,9.648,7.7843,3.1856,6,2.4323
1739059200000,2025-02-09 00:00:00,XRP/USDD,2.4862,2.4862,2.3437,2.3437,157.6572,65.6014,4.9724,2,5,2.4033
1738972800000,2025-02-08 00:00:00,XRP/USDD,2.3639,2.4854,2.3588,2.4238,1905.7156,790.5616,673.5448,277.2387,28,2.4117
1738886400000,2025-02-07 00:00:00,XRP/USDD,2.3697,2.5359,2.2977,2.3906,2936.4802,1217.6147,1340.1566,553.8595,21,2.4133
1738800000000,2025-02-06 00:00:00,XRP/USDD,2.4683,2.5004,2.3437,2.3437,5621.2047,2274.4501,4478.1693,1811.0593,15,2.4714
1738713600000,2025-02-05 00:00:00,XRP/USDD,2.4384,2.4384,2.3906,2.3906,9.658,4,0,0,2,2.4147
1738627200000,2025-02-04 00:00:00,XRP/USDD,2.6394,2.6911,2.4872,2.5064,395.6582,155.9165,10.659,4,10,2.5384
1738540800000,2025-02-03 00:00:00,XRP/USDD,2.4872,2.7449,1.8116,2.7449,982.4058,444.9168,782.8717,351.5729,92,2.2246
