unix,date,symbol,open,high,low,close,Volume ETH,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1722816000000,2024-08-05 00:00:00,ETH/USDD,2669.34,2669.34,2197,2519.99,41723.05,17.734992,22357.39,9.344972,189,2356.41
1722729600000,2024-08-04 00:00:00,ETH/USDD,2810,2917.46,2698.4,2917.46,333.9,0.119368,5.35,0.001837,6,2797.56
1722643200000,2024-08-03 00:00:00,ETH/USDD,2980,3007.09,2980,3007.09,5.83,0.00195,3.08,0.001027,2,2994.32
1722556800000,2024-08-02 00:00:00,ETH/USDD,3209.58,3209.58,2999,2999,1082.2,0.359991,17.73,0.005634,10,3006.48
1722470400000,2024-08-01 00:00:00,ETH/USDD,3220,3220,3100,3100,2003.03,0.640481,338.8,0.107961,19,3127.56
1722384000000,2024-07-31 00:00:00,ETH/USDD,3240,3240,3237.19,3237.19,38.56,0.011913,0,0,2,3237.55
1722297600000,2024-07-30 00:00:00,ETH/USDD,3280,3280,3260,3260,9.99,0.003057,0,0,2,3270
1722211200000,2024-07-29 00:00:00,ETH/USDD,3330,3390,3330,3390,96.12,0.028429,96.12,0.028429,7,3381.33
1722124800000,2024-07-28 00:00:00,ETH/USDD,3310,3310,3310,3310,0,0,0,0,0,3291.39
1722038400000,2024-07-27 00:00:00,ETH/USDD,3287.02,3310,3287.02,3310,67.79,0.020598,67.79,0.020598,4,3291.39
1721952000000,2024-07-26 00:00:00,ETH/USDD,3250,3270,3250,3270,38,0.011637,28.64,0.008776,6,3265.73
1721865600000,2024-07-25 00:00:00,ETH/USDD,3300,3300,3100,3100,3419.78,1.063314,1385.81,0.428648,30,3216.61
1721779200000,2024-07-24 00:00:00,ETH/USDD,3381.07,3381.07,3311,3311,3330.65,1.002447,1338.02,0.403021,18,3322.54
1721692800000,2024-07-23 00:00:00,ETH/USDD,3420,3534.21,3400,3493.45,143.48,0.041901,133.48,0.03897,6,3424.52
1721606400000,2024-07-22 00:00:00,ETH/USDD,3550,3550,3440,3440,118.72,0.034458,4.99,0.001408,3,3445.62
1721520000000,2024-07-21 00:00:00,ETH/USDD,3530,3530,3530,3530,0,0,0,0,0,3508.72
1721433600000,2024-07-20 00:00:00,ETH/USDD,3530,3530,3530,3530,0,0,0,0,0,3508.72
1721347200000,2024-07-19 00:00:00,ETH/USDD,3489.68,3530,3489.68,3530,1069.4,0.304793,1069.4,0.304793,13,3508.72
1721260800000,2024-07-18 00:00:00,ETH/USDD,3426.04,3426.04,3380,3380,241.99,0.0711,0,0,6,3403.68
1721174400000,2024-07-17 00:00:00,ETH/USDD,3510,3510,3386.57,3408.06,111.02,0.032585,4.99,0.001424,6,3407.31
1721088000000,2024-07-16 00:00:00,ETH/USDD,3489.94,3509.29,3360,3509.29,86.61,0.024922,76.61,0.021955,9,3475.92
1721001600000,2024-07-15 00:00:00,ETH/USDD,3290,3490,3176.16,3490,568.58,0.16397,565.77,0.163099,21,3468.15
1720915200000,2024-07-14 00:00:00,ETH/USDD,3210,3270,3199.26,3270,55.73,0.017227,55.73,0.017227,10,3235.51
1720828800000,2024-07-13 00:00:00,ETH/USDD,3144.96,3209.93,3144.96,3209.93,26.27,0.008267,26.27,0.008267,5,3178.5
1720742400000,2024-07-12 00:00:00,ETH/USDD,3080.01,3142.92,3060.01,3142.92,19.43,0.00628,4.43,0.001412,4,3094.37
1720656000000,2024-07-11 00:00:00,ETH/USDD,3106.73,3210,3040.01,3040.01,198.92,0.06408,143.01,0.045689,6,3104.91
1720569600000,2024-07-10 00:00:00,ETH/USDD,3130,3151.61,3106.73,3106.73,33.83,0.01081,33.83,0.01081,5,3130.51
1720483200000,2024-07-09 00:00:00,ETH/USDD,3090,3110,3074.39,3074.39,23.42,0.007586,23.42,0.007586,5,3087.96
1720396800000,2024-07-08 00:00:00,ETH/USDD,3055,3090,2905.11,2905.11,1990.74,0.668421,947.3,0.310359,9,2980.02
1720310400000,2024-07-07 00:00:00,ETH/USDD,3075.3,3075.3,3075.3,3075.3,0,0,0,0,0,3076.53
1720224000000,2024-07-06 00:00:00,ETH/USDD,3087.91,3087.91,3075.3,3075.3,113.01,0.036734,113.01,0.036734,2,3076.53
1720137600000,2024-07-05 00:00:00,ETH/USDD,3047,3047,2869.09,2869.09,11122.31,3.708048,1814.14,0.618272,58,3000.52
1720051200000,2024-07-04 00:00:00,ETH/USDD,3240,3240,3060,3060,2570.33,0.821556,1094.08,0.345502,24,3129.11
1719964800000,2024-07-03 00:00:00,ETH/USDD,3400,3400,3260,3260,43.96,0.013209,0,0,9,3328.77
1719878400000,2024-07-02 00:00:00,ETH/USDD,3448.81,3448.81,3408.81,3419.29,1223.84,0.356344,0,0,5,3434.53
1719792000000,2024-07-01 00:00:00,ETH/USDD,3449.45,3510,3449.45,3470,520.74,0.149532,520.74,0.149532,11,3482.53
1719705600000,2024-06-30 00:00:00,ETH/USDD,3364.99,3364.99,3360,3360,768.05,0.228537,0,0,3,3360.72
1719619200000,2024-06-29 00:00:00,ETH/USDD,3477,3477,3477,3477,0,0,0,0,0,3476.91
1719532800000,2024-06-28 00:00:00,ETH/USDD,3470,3477,3470,3477,422.77,0.121596,422.77,0.121596,2,3476.91
1719446400000,2024-06-27 00:00:00,ETH/USDD,3430,3450,3430,3450,9.99,0.002906,9.99,0.002906,2,3440
1719360000000,2024-06-26 00:00:00,ETH/USDD,3410,3410,3410,3410,0,0,0,0,0,3389.99
1719273600000,2024-06-25 00:00:00,ETH/USDD,3370,3410,3370,3410,668.63,0.197237,668.63,0.197237,4,3389.99
1719187200000,2024-06-24 00:00:00,ETH/USDD,3400,3400,3260,3300.7,3207.92,0.963347,1680.75,0.509478,29,3330.33
1719100800000,2024-06-23 00:00:00,ETH/USDD,3512.29,3512.29,3420,3420,663.39,0.192906,653.39,0.189992,6,3438.94
1719014400000,2024-06-22 00:00:00,ETH/USDD,3466.04,3466.04,3466.04,3466.04,0,0,0,0,0,3485.74
1718928000000,2024-06-21 00:00:00,ETH/USDD,3480,3488.22,3460,3466.04,133.55,0.038315,0,0,4,3485.74
1718841600000,2024-06-20 00:00:00,ETH/USDD,3596.4,3629.99,3500,3526.31,358.03,0.101359,353.04,0.099931,6,3532.53
1718755200000,2024-06-19 00:00:00,ETH/USDD,3509.98,3590,3509.98,3590,1183.92,0.334629,1183.92,0.334629,8,3538.07
1718668800000,2024-06-18 00:00:00,ETH/USDD,3480,3490,3380,3490,160.6,0.047057,11.42,0.003281,10,3413.17
1718582400000,2024-06-17 00:00:00,ETH/USDD,3550.57,3550.57,3550,3550,10.82,0.003048,0,0,2,3550.51
1718496000000,2024-06-16 00:00:00,ETH/USDD,3610,3650,3610,3650,47.17,0.013007,47.17,0.013007,4,3627.29
1718409600000,2024-06-15 00:00:00,ETH/USDD,3550,3590,3550,3590,14.99,0.0042,14.99,0.0042,3,3569.99
1718323200000,2024-06-14 00:00:00,ETH/USDD,3420,3531.53,3380,3428.09,160,0.046606,16.6,0.004704,8,3433.52
1718236800000,2024-06-13 00:00:00,ETH/USDD,3520,3520,3440,3440,146.53,0.04209,0,0,8,3481.52
1718150400000,2024-06-12 00:00:00,ETH/USDD,3569.28,3650,3569.28,3650,798.55,0.223443,784.79,0.219609,11,3573.92
1718064000000,2024-06-11 00:00:00,ETH/USDD,3590.88,3607.12,3457.81,3457.81,3900.05,1.107366,1663.44,0.472045,34,3522.38
1717977600000,2024-06-10 00:00:00,ETH/USDD,3690.49,3690.49,3590.89,3590.89,14.26,0.003895,10.2,0.002765,3,3662.19
1717891200000,2024-06-09 00:00:00,ETH/USDD,3699.88,3700.78,3699.88,3700.78,1141.98,0.308599,104.9,0.028347,18,3700.56
1717804800000,2024-06-08 00:00:00,ETH/USDD,3597.03,3597.03,3597.03,3597.03,0,0,0,0,0,3841.69
1717718400000,2024-06-07 00:00:00,ETH/USDD,3862.37,3871.2,3592.09,3597.03,842.11,0.219267,735.87,0.190433,20,3841.69
1717632000000,2024-06-06 00:00:00,ETH/USDD,3754.1,3782.32,3754.1,3782.32,16.46,0.004373,0,0,3,3765.4
1717545600000,2024-06-05 00:00:00,ETH/USDD,3829.14,3870,3829.14,3870,10.82,0.002813,10.82,0.002813,2,3849.01
1717459200000,2024-06-04 00:00:00,ETH/USDD,3776.28,3869.93,3767.89,3835.82,529.58,0.140375,403.43,0.106952,13,3772.69
1717372800000,2024-06-03 00:00:00,ETH/USDD,3817.26,3850,3816.79,3850,120.26,0.03151,120.26,0.03151,3,3816.8
1717286400000,2024-06-02 00:00:00,ETH/USDD,3723.85,3844.97,3723.85,3793.99,370.82,0.097582,30.35,0.007962,6,3800.15
1717200000000,2024-06-01 00:00:00,ETH/USDD,3850,3850,3850,3850,5.22,0.001357,5.22,0.001357,1,3850
1717113600000,2024-05-31 00:00:00,ETH/USDD,3830,3830,3781.95,3781.95,24.53,0.006458,24.53,0.006458,5,3798.77
1717027200000,2024-05-30 00:00:00,ETH/USDD,3796.41,3796.41,3720,3720,49.98,0.013343,8.11,0.002138,6,3746.25
1716940800000,2024-05-29 00:00:00,ETH/USDD,3789.86,3789.86,3760,3760,356.66,0.094169,0,0,4,3787.55
1716854400000,2024-05-28 00:00:00,ETH/USDD,3840,3840,3800,3815.37,21.26,0.005568,0,0,4,3818.68
1716768000000,2024-05-27 00:00:00,ETH/USDD,3899,3985.35,3714.87,3985.24,396.43,0.10503,99.24,0.02503,13,3777.58
1716681600000,2024-05-26 00:00:00,ETH/USDD,3798.99,3879,3798.99,3879,245.8,0.063931,103.87,0.026967,14,3844.95
1716595200000,2024-05-25 00:00:00,ETH/USDD,3778.9,3796.63,3778.9,3796.63,762.3,0.201714,762.3,0.201714,10,3779.15
1716508800000,2024-05-24 00:00:00,ETH/USDD,3817.08,3817.08,3645.93,3701.73,1317.07,0.351786,624.95,0.163956,7,3745.84
1716422400000,2024-05-23 00:00:00,ETH/USDD,3819.09,3930,3567.78,3567.78,9325.7,2.517866,2194.38,0.611162,48,3707.66
1716336000000,2024-05-22 00:00:00,ETH/USDD,3817.73,3819.07,3620.01,3780,80.86,0.021398,78.11,0.020638,5,3779.6
1716249600000,2024-05-21 00:00:00,ETH/USDD,3700,3831.75,3650,3831.75,3894.02,1.038527,1002.24,0.26786,59,3750.41
1716163200000,2024-05-20 00:00:00,ETH/USDD,3159,3644.6,3159,3644.6,7528.49,2.180928,2636.72,0.774932,58,3455.71
1716076800000,2024-05-19 00:00:00,ETH/USDD,3122.97,3122.98,3122.87,3122.88,2763.69,0.884965,2763.69,0.884965,7,3122.94
1715990400000,2024-05-18 00:00:00,ETH/USDD,3139,3139,3139,3139,4.99,0.001592,4.99,0.001592,1,3139
1715904000000,2024-05-17 00:00:00,ETH/USDD,2877.35,3119,2877.35,3119,1515,0.501234,669.86,0.216156,12,3024.01
1715817600000,2024-05-16 00:00:00,ETH/USDD,3073.03,3073.03,3073.03,3073.03,2.99,0.000973,2.99,0.000973,1,3073.03
1715731200000,2024-05-15 00:00:00,ETH/USDD,2859.45,2859.45,2859.45,2859.45,0,0,0,0,0,2859.83
1715644800000,2024-05-14 00:00:00,ETH/USDD,2859.45,2859.45,2859.45,2859.45,0,0,0,0,0,2859.83
1715558400000,2024-05-13 00:00:00,ETH/USDD,2880,2880,2859.45,2859.45,245.93,0.085995,0,0,2,2859.83
1715472000000,2024-05-12 00:00:00,ETH/USDD,2900,2900,2900,2900,0,0,0,0,0,2939.3
1715385600000,2024-05-11 00:00:00,ETH/USDD,2900,2900,2900,2900,0,0,0,0,0,2939.3
1715299200000,2024-05-10 00:00:00,ETH/USDD,2940,2940,2900,2900,917.22,0.312057,902.23,0.306921,11,2939.3
1715212800000,2024-05-09 00:00:00,ETH/USDD,2940.01,2940.01,2940.01,2940.01,9.01,0.003067,0,0,1,2940.01
1715126400000,2024-05-08 00:00:00,ETH/USDD,3000,3000,2960,2960,16.27,0.005462,0,0,4,2979.92
1715040000000,2024-05-07 00:00:00,ETH/USDD,3020,3020,3020,3020,4.99,0.001655,0,0,1,3020
1714953600000,2024-05-06 00:00:00,ETH/USDD,3179,3219,3179,3219,14.99,0.004687,14.99,0.004687,3,3199
1714867200000,2024-05-05 00:00:00,ETH/USDD,2979.07,3178.99,2979.07,2991.99,48.48,0.015773,22.3,0.007017,4,3076.63
1714780800000,2024-05-04 00:00:00,ETH/USDD,3139,3159,3139,3159,9.99,0.003174,9.99,0.003174,2,3149
1714694400000,2024-05-03 00:00:00,ETH/USDD,3026.52,3131.64,2920.41,3131.64,834.38,0.275137,830.86,0.273931,7,3032.82
1714608000000,2024-05-02 00:00:00,ETH/USDD,2940.32,2940.33,2868.15,2868.15,878.7,0.298987,801.32,0.272603,8,2938.94
1714521600000,2024-05-01 00:00:00,ETH/USDD,3001,3010.01,2860.1,2980.84,2176.07,0.749616,73.88,0.025341,48,2903.04
1714435200000,2024-04-30 00:00:00,ETH/USDD,3190,3190,3031,3031,308.4,0.099371,18.24,0.005905,23,3103.72
1714348800000,2024-04-29 00:00:00,ETH/USDD,3399,3399,3399,3399,0,0,0,0,0,3379.61
1714262400000,2024-04-28 00:00:00,ETH/USDD,3338.99,3399,3338.99,3399,1236.71,0.365936,1236.71,0.365936,21,3379.61
1714176000000,2024-04-27 00:00:00,ETH/USDD,3150,3150,3110.01,3110.01,55.71,0.017705,0,0,2,3146.68
1714089600000,2024-04-26 00:00:00,ETH/USDD,3153.43,3153.43,3150.01,3150.01,12.19,0.00387,0,0,3,3151.57
1714003200000,2024-04-25 00:00:00,ETH/USDD,3130,3130,3125,3125,7.11,0.002273,0,0,2,3128.51
1713916800000,2024-04-24 00:00:00,ETH/USDD,3319,3358.38,3130.01,3358.38,270.7,0.083176,155.23,0.046286,5,3258.39
1713830400000,2024-04-23 00:00:00,ETH/USDD,3299,3309.42,3280,3280,13.96,0.004229,11.95,0.003616,4,3302.88
