unix,date,symbol,open,high,low,close,Volume XMR,Volume BTC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1743897600000,2025-04-06 00:00:00,XMR/BTC,0.002562,0.002593,0.002494,0.002565,2.680683,1054.14,0.483275,188.69,1089,0.002543
1743811200000,2025-04-05 00:00:00,XMR/BTC,0.002568,0.002617,0.002546,0.002546,0.888108,343.63,0.382942,147.44,432,0.002584
1743724800000,2025-04-04 00:00:00,XMR/BTC,0.002581,0.002617,0.002535,0.002565,1.230076,477.45,0.495441,191.35,777,0.002576
1743638400000,2025-04-03 00:00:00,XMR/BTC,0.002574,0.002627,0.00251,0.002582,2.771005,1076.19,1.260489,487.4,1166,0.002575
1743552000000,2025-04-02 00:00:00,XMR/BTC,0.002546,0.002616,0.002522,0.002584,1.849653,719.22,0.742215,287.09,516,0.002571
1743465600000,2025-04-01 00:00:00,XMR/BTC,0.002616,0.002635,0.002544,0.002546,1.372221,528.69,0.226319,87.06,1241,0.002595
1743379200000,2025-03-31 00:00:00,XMR/BTC,0.002655,0.002709,0.002583,0.00262,2.238099,845.83,1.111526,417.04,1386,0.002646
1743292800000,2025-03-30 00:00:00,XMR/BTC,0.002622,0.002662,0.002568,0.002659,2.179529,829.52,0.335781,127.33,1659,0.002627
1743206400000,2025-03-29 00:00:00,XMR/BTC,0.002607,0.002633,0.002582,0.002594,1.058249,405.8,0.824133,316.61,990,0.002607
1743120000000,2025-03-28 00:00:00,XMR/BTC,0.002581,0.00261,0.002558,0.002575,0.617467,237.96,0.381102,146.59,865,0.002594
1743033600000,2025-03-27 00:00:00,XMR/BTC,0.002566,0.002598,0.002532,0.002583,0.683084,266.49,0.052235,20.19,809,0.002563
1742947200000,2025-03-26 00:00:00,XMR/BTC,0.002537,0.0027,0.002537,0.002579,4.202037,1614.04,2.43006,925.85,1793,0.002603
1742860800000,2025-03-25 00:00:00,XMR/BTC,0.00252,0.002649,0.002496,0.002507,2.279719,889.07,1.487704,578.8,1256,0.002564
1742774400000,2025-03-24 00:00:00,XMR/BTC,0.00252,0.002541,0.002482,0.002519,1.365468,544.48,0.692039,276.28,1168,0.002507
1742688000000,2025-03-23 00:00:00,XMR/BTC,0.002581,0.002591,0.002532,0.002532,0.942328,367.67,0.032714,12.72,316,0.002563
1742601600000,2025-03-22 00:00:00,XMR/BTC,0.002566,0.002593,0.002539,0.002569,0.935218,363.62,0.14145,54.94,815,0.002572
1742515200000,2025-03-21 00:00:00,XMR/BTC,0.002473,0.002561,0.002458,0.00255,2.567835,1016.61,0.257562,102.47,1892,0.002526
1742428800000,2025-03-20 00:00:00,XMR/BTC,0.0024,0.002508,0.002385,0.002506,1.515961,614.97,0.140775,57.03,1175,0.002465
1742342400000,2025-03-19 00:00:00,XMR/BTC,0.002504,0.002523,0.0024,0.0024,2.383874,968.88,0.158581,63.51,1285,0.00246
1742256000000,2025-03-18 00:00:00,XMR/BTC,0.002501,0.002546,0.002501,0.002525,0.440641,174.7,0.136086,53.93,477,0.002522
1742169600000,2025-03-17 00:00:00,XMR/BTC,0.002516,0.002536,0.002476,0.00249,0.414047,164.83,0.254108,100.92,372,0.002512
1742083200000,2025-03-16 00:00:00,XMR/BTC,0.002505,0.00255,0.002498,0.002516,0.656035,259.1,0.299643,118,538,0.002532
