unix,date,symbol,open,high,low,close,Volume CORN,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1686873600000,2023-06-16 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1686787200000,2023-06-15 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1686700800000,2023-06-14 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1686614400000,2023-06-13 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1686528000000,2023-06-12 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1686441600000,2023-06-11 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1686355200000,2023-06-10 00:00:00,CORN/USDT,8.46,8.5,8.45,8.5,58.55,6.896123,56.31,6.631089,5,8.49
1686268800000,2023-06-09 00:00:00,CORN/USDT,8.45,8.45,8.45,8.45,0,0,0,0,0,8.45
1686182400000,2023-06-08 00:00:00,CORN/USDT,8.45,8.45,8.45,8.45,0,0,0,0,0,8.45
1686096000000,2023-06-07 00:00:00,CORN/USDT,8.45,8.45,8.45,8.45,0.05,0.007,0.05,0.007,1,8.45
1686009600000,2023-06-06 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,0,0,0,0,0,8.82
1685923200000,2023-06-05 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,21.74,2.465795,0,0,2,8.82
1685836800000,2023-06-04 00:00:00,CORN/USDT,9.53,9.53,9.53,9.53,0,0,0,0,0,9.47
1685750400000,2023-06-03 00:00:00,CORN/USDT,9.42,9.53,9.42,9.53,18.41,1.942425,18.41,1.942425,3,9.47
1685664000000,2023-06-02 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,0,0,0,0,0,8.82
1685577600000,2023-06-01 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,0,0,0,0,0,8.82
1685491200000,2023-05-31 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,0,0,0,0,0,8.82
1685404800000,2023-05-30 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,0,0,0,0,0,8.82
1685318400000,2023-05-29 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,0,0,0,0,0,8.82
1685232000000,2023-05-28 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,0,0,0,0,0,8.82
1685145600000,2023-05-27 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,0,0,0,0,0,8.82
1685059200000,2023-05-26 00:00:00,CORN/USDT,8.82,8.82,8.82,8.82,3.22,0.366213,0,0,1,8.82
1684972800000,2023-05-25 00:00:00,CORN/USDT,9.97,9.97,9.97,9.97,0,0,0,0,0,9.96
1684886400000,2023-05-24 00:00:00,CORN/USDT,9.97,9.97,9.97,9.97,0,0,0,0,0,9.96
1684800000000,2023-05-23 00:00:00,CORN/USDT,9.97,9.97,9.97,9.97,0,0,0,0,0,9.96
1684713600000,2023-05-22 00:00:00,CORN/USDT,7.79,9.97,7.79,9.97,9.99,1.002012,9.99,1.002012,2,9.96
1684627200000,2023-05-21 00:00:00,CORN/USDT,8.15,8.15,7.2,7.79,122.07,16.396682,87.39,12.092638,6,7.46
1684540800000,2023-05-20 00:00:00,CORN/USDT,8.15,8.15,8.15,8.15,0.03,0.004905,0,0,1,8.15
1684454400000,2023-05-19 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0,0,0,0,0,8.14
1684368000000,2023-05-18 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0,0,0,0,0,8.14
1684281600000,2023-05-17 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0,0,0,0,0,8.14
1684195200000,2023-05-16 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0,0,0,0,0,8.14
1684108800000,2023-05-15 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0,0,0,0,0,8.14
1684022400000,2023-05-14 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0,0,0,0,0,8.14
1683936000000,2023-05-13 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0,0,0,0,0,8.14
1683849600000,2023-05-12 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0,0,0,0,0,8.14
1683763200000,2023-05-11 00:00:00,CORN/USDT,8.14,8.14,8.14,8.14,0.03,0.004914,0,0,1,8.14
1683676800000,2023-05-10 00:00:00,CORN/USDT,9.2,9.2,9.2,9.2,0,0,0,0,0,8.27
1683590400000,2023-05-09 00:00:00,CORN/USDT,9.2,9.2,9.2,9.2,0,0,0,0,0,8.27
1683504000000,2023-05-08 00:00:00,CORN/USDT,8.84,9.2,7.99,9.2,49.07,5.94547,8.29,0.914242,7,8.27
1683417600000,2023-05-07 00:00:00,CORN/USDT,8.84,8.84,8.84,8.84,0,0,0,0,0,8.84
1683331200000,2023-05-06 00:00:00,CORN/USDT,8.84,8.84,8.84,8.84,0,0,0,0,0,8.84
1683244800000,2023-05-05 00:00:00,CORN/USDT,8.84,8.84,8.84,8.84,1.02,0.115601,0,0,1,8.84
1683158400000,2023-05-04 00:00:00,CORN/USDT,9.99,9.99,9.99,9.99,0,0,0,0,0,8.99
1683072000000,2023-05-03 00:00:00,CORN/USDT,9.99,9.99,9.99,9.99,0,0,0,0,0,8.99
